filename,segment,wc,analytic,clout,authentic,tone,wps,bigwords,dic,linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,drives,affiliation,achieve,power,cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,culture,politic,ethnicity,tech,lifestyle,leisure,home,work,money,relig,physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,conversation,netspeak,assent,nonflu,filler,allpunc,period,comma,qmark,exclam,apostro,otherp,emoji,absolutist,agitation,dejection,accomplishment,behavioral_activation,breadth,decisions,effort_enjoyment,longterm,satisfaction,structure,competence,excitement,not_relevant,ruggedness,sincerity,sophistication,highcontroversial,lowcontroversial,mediumcontroversial,benefit,cost,creativity_innovation,alterations,cogs_precogs,enchantment_emotions,fabulations,infinity_eternity,renewal,spiritual_imagery,total,vision,agency,agentrelatedemotions,experience,mindoverall,patientrelatedemotions,security,VideoNumber,"GroupN(1=low(1-3),2=neutral(4-6),3=high(7-10))",PrefereneMean,PurchaseDesireMean,NarrativeInterityMean,EmpathyMean,TotalTime(S),ShotNumber,ShotMean,ad_id,id,std_x,std_y,combined_std,convex_hull_area,convex_hull_area_shapely,mean_euclidean_distance,intercept,preference,purchase
1+90 Years Crafting.txt,1,610,55.44,40.06,18.98,66.73,13.56,25.08,80.82,60.49,47.21,7.38,2.95,0.0,0.0,2.95,0.0,0.0,4.43,7.38,1.48,4.1,19.18,8.85,4.43,8.85,5.9,14.75,4.43,1.48,1.48,0.0,0.0,1.48,10.33,4.43,5.9,2.95,0.0,1.48,0.0,0.0,1.48,0.0,2.95,2.95,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0,5.9,1.48,1.48,0.0,0,0.0,0.0,4.43,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,4.43,1.48,1.48,0,0,0.0,4.43,0,0.0,1.48,0.0,0.0,0.0,0,0.0,0.0,0.0,7.38,5.9,1.48,1.48,2.95,1.48,0.0,0.0,5.9,1.48,8.85,2.95,0.0,0.0,0.0,0.0,0,28.69,10.0,8.69,0.0,0.0,5.9,4.1,0,0.0,0.0,0.0,0.0,4.43,1.48,1.48,1.48,1.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,4.43,2.95,0.0,2.95,0.0,0.0,0.0,0,5.9,0,2.95,0.0,0.0,2.95,0.0,2.95,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_2qFdJq0jnOo6gpt,0.04905867179870901,0.132776441459906,0.141549767521566,0.06703438464506101,0.06703438464506101,0.11413971916907201,1,2,2
1+90 Years Crafting.txt,1,610,55.44,40.06,18.98,66.73,13.56,25.08,80.82,60.49,47.21,7.38,2.95,0.0,0.0,2.95,0.0,0.0,4.43,7.38,1.48,4.1,19.18,8.85,4.43,8.85,5.9,14.75,4.43,1.48,1.48,0.0,0.0,1.48,10.33,4.43,5.9,2.95,0.0,1.48,0.0,0.0,1.48,0.0,2.95,2.95,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0,5.9,1.48,1.48,0.0,0,0.0,0.0,4.43,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,4.43,1.48,1.48,0,0,0.0,4.43,0,0.0,1.48,0.0,0.0,0.0,0,0.0,0.0,0.0,7.38,5.9,1.48,1.48,2.95,1.48,0.0,0.0,5.9,1.48,8.85,2.95,0.0,0.0,0.0,0.0,0,28.69,10.0,8.69,0.0,0.0,5.9,4.1,0,0.0,0.0,0.0,0.0,4.43,1.48,1.48,1.48,1.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,4.43,2.95,0.0,2.95,0.0,0.0,0.0,0,5.9,0,2.95,0.0,0.0,2.95,0.0,2.95,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_5iNTkLqxP6ZbD7H,0.071654565349624,0.10492324245064301,0.127056143266668,0.06368031442901201,0.06368031442901201,0.11232946556942801,1,2,2
1+90 Years Crafting.txt,1,610,55.44,40.06,18.98,66.73,13.56,25.08,80.82,60.49,47.21,7.38,2.95,0.0,0.0,2.95,0.0,0.0,4.43,7.38,1.48,4.1,19.18,8.85,4.43,8.85,5.9,14.75,4.43,1.48,1.48,0.0,0.0,1.48,10.33,4.43,5.9,2.95,0.0,1.48,0.0,0.0,1.48,0.0,2.95,2.95,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0,5.9,1.48,1.48,0.0,0,0.0,0.0,4.43,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,4.43,1.48,1.48,0,0,0.0,4.43,0,0.0,1.48,0.0,0.0,0.0,0,0.0,0.0,0.0,7.38,5.9,1.48,1.48,2.95,1.48,0.0,0.0,5.9,1.48,8.85,2.95,0.0,0.0,0.0,0.0,0,28.69,10.0,8.69,0.0,0.0,5.9,4.1,0,0.0,0.0,0.0,0.0,4.43,1.48,1.48,1.48,1.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,4.43,2.95,0.0,2.95,0.0,0.0,0.0,0,5.9,0,2.95,0.0,0.0,2.95,0.0,2.95,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_x5FWpiRdYvqrumZ,0.06926456904207601,0.068578651096136,0.097471082433458,0.040370611496913004,0.040370611496913004,0.08449520201643901,1,2,2
1+90 Years Crafting.txt,1,610,55.44,40.06,18.98,66.73,13.56,25.08,80.82,60.49,47.21,7.38,2.95,0.0,0.0,2.95,0.0,0.0,4.43,7.38,1.48,4.1,19.18,8.85,4.43,8.85,5.9,14.75,4.43,1.48,1.48,0.0,0.0,1.48,10.33,4.43,5.9,2.95,0.0,1.48,0.0,0.0,1.48,0.0,2.95,2.95,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0,5.9,1.48,1.48,0.0,0,0.0,0.0,4.43,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,4.43,1.48,1.48,0,0,0.0,4.43,0,0.0,1.48,0.0,0.0,0.0,0,0.0,0.0,0.0,7.38,5.9,1.48,1.48,2.95,1.48,0.0,0.0,5.9,1.48,8.85,2.95,0.0,0.0,0.0,0.0,0,28.69,10.0,8.69,0.0,0.0,5.9,4.1,0,0.0,0.0,0.0,0.0,4.43,1.48,1.48,1.48,1.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,4.43,2.95,0.0,2.95,0.0,0.0,0.0,0,5.9,0,2.95,0.0,0.0,2.95,0.0,2.95,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_2WDsrmAlPtoO0HZ,0.08539453933628101,0.055002192622576,0.10157494052051701,0.051599874614197,0.051599874614197,0.08317062440981701,1,2,2
1+90 Years Crafting.txt,1,610,55.44,40.06,18.98,66.73,13.56,25.08,80.82,60.49,47.21,7.38,2.95,0.0,0.0,2.95,0.0,0.0,4.43,7.38,1.48,4.1,19.18,8.85,4.43,8.85,5.9,14.75,4.43,1.48,1.48,0.0,0.0,1.48,10.33,4.43,5.9,2.95,0.0,1.48,0.0,0.0,1.48,0.0,2.95,2.95,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0,5.9,1.48,1.48,0.0,0,0.0,0.0,4.43,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,4.43,1.48,1.48,0,0,0.0,4.43,0,0.0,1.48,0.0,0.0,0.0,0,0.0,0.0,0.0,7.38,5.9,1.48,1.48,2.95,1.48,0.0,0.0,5.9,1.48,8.85,2.95,0.0,0.0,0.0,0.0,0,28.69,10.0,8.69,0.0,0.0,5.9,4.1,0,0.0,0.0,0.0,0.0,4.43,1.48,1.48,1.48,1.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,4.43,2.95,0.0,2.95,0.0,0.0,0.0,0,5.9,0,2.95,0.0,0.0,2.95,0.0,2.95,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_2DTAqyIUDqXnKfP,0.069290294116961,0.08771997702891701,0.11178523707882301,0.053017698688271005,0.053017698688271005,0.097590611872476,1,2,2
1+90 Years Crafting.txt,1,610,55.44,40.06,18.98,66.73,13.56,25.08,80.82,60.49,47.21,7.38,2.95,0.0,0.0,2.95,0.0,0.0,4.43,7.38,1.48,4.1,19.18,8.85,4.43,8.85,5.9,14.75,4.43,1.48,1.48,0.0,0.0,1.48,10.33,4.43,5.9,2.95,0.0,1.48,0.0,0.0,1.48,0.0,2.95,2.95,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0,5.9,1.48,1.48,0.0,0,0.0,0.0,4.43,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,4.43,1.48,1.48,0,0,0.0,4.43,0,0.0,1.48,0.0,0.0,0.0,0,0.0,0.0,0.0,7.38,5.9,1.48,1.48,2.95,1.48,0.0,0.0,5.9,1.48,8.85,2.95,0.0,0.0,0.0,0.0,0,28.69,10.0,8.69,0.0,0.0,5.9,4.1,0,0.0,0.0,0.0,0.0,4.43,1.48,1.48,1.48,1.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,4.43,2.95,0.0,2.95,0.0,0.0,0.0,0,5.9,0,2.95,0.0,0.0,2.95,0.0,2.95,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_1Ic2grCw4d162ym,0.05520627418728401,0.09304045537305,0.108186223918141,0.040562307098765,0.040562307098765,0.09443715865339,1,2,2
1+90 Years Crafting.txt,1,610,55.44,40.06,18.98,66.73,13.56,25.08,80.82,60.49,47.21,7.38,2.95,0.0,0.0,2.95,0.0,0.0,4.43,7.38,1.48,4.1,19.18,8.85,4.43,8.85,5.9,14.75,4.43,1.48,1.48,0.0,0.0,1.48,10.33,4.43,5.9,2.95,0.0,1.48,0.0,0.0,1.48,0.0,2.95,2.95,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0,5.9,1.48,1.48,0.0,0,0.0,0.0,4.43,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,4.43,1.48,1.48,0,0,0.0,4.43,0,0.0,1.48,0.0,0.0,0.0,0,0.0,0.0,0.0,7.38,5.9,1.48,1.48,2.95,1.48,0.0,0.0,5.9,1.48,8.85,2.95,0.0,0.0,0.0,0.0,0,28.69,10.0,8.69,0.0,0.0,5.9,4.1,0,0.0,0.0,0.0,0.0,4.43,1.48,1.48,1.48,1.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,4.43,2.95,0.0,2.95,0.0,0.0,0.0,0,5.9,0,2.95,0.0,0.0,2.95,0.0,2.95,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_ysdra57Iv3uoFm9,0.10684256820172001,0.14313621442062902,0.17861497769954102,0.13355999228395002,0.13355999228395002,0.15335294697485402,1,2,2
1+90 Years Crafting.txt,1,610,55.44,40.06,18.98,66.73,13.56,25.08,80.82,60.49,47.21,7.38,2.95,0.0,0.0,2.95,0.0,0.0,4.43,7.38,1.48,4.1,19.18,8.85,4.43,8.85,5.9,14.75,4.43,1.48,1.48,0.0,0.0,1.48,10.33,4.43,5.9,2.95,0.0,1.48,0.0,0.0,1.48,0.0,2.95,2.95,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0,5.9,1.48,1.48,0.0,0,0.0,0.0,4.43,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,4.43,1.48,1.48,0,0,0.0,4.43,0,0.0,1.48,0.0,0.0,0.0,0,0.0,0.0,0.0,7.38,5.9,1.48,1.48,2.95,1.48,0.0,0.0,5.9,1.48,8.85,2.95,0.0,0.0,0.0,0.0,0,28.69,10.0,8.69,0.0,0.0,5.9,4.1,0,0.0,0.0,0.0,0.0,4.43,1.48,1.48,1.48,1.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,4.43,2.95,0.0,2.95,0.0,0.0,0.0,0,5.9,0,2.95,0.0,0.0,2.95,0.0,2.95,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_pcjQCK9dAmqufrX,0.055027648497756,0.10485523094848401,0.11841731949530201,0.06362485532407401,0.06362485532407401,0.09992365528195901,1,2,2
1+90 Years Crafting.txt,1,610,55.44,40.06,18.98,66.73,13.56,25.08,80.82,60.49,47.21,7.38,2.95,0.0,0.0,2.95,0.0,0.0,4.43,7.38,1.48,4.1,19.18,8.85,4.43,8.85,5.9,14.75,4.43,1.48,1.48,0.0,0.0,1.48,10.33,4.43,5.9,2.95,0.0,1.48,0.0,0.0,1.48,0.0,2.95,2.95,0.0,2.95,2.95,0.0,0.0,0.0,0.0,0.0,5.9,1.48,1.48,0.0,0,0.0,0.0,4.43,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,4.43,1.48,1.48,0,0,0.0,4.43,0,0.0,1.48,0.0,0.0,0.0,0,0.0,0.0,0.0,7.38,5.9,1.48,1.48,2.95,1.48,0.0,0.0,5.9,1.48,8.85,2.95,0.0,0.0,0.0,0.0,0,28.69,10.0,8.69,0.0,0.0,5.9,4.1,0,0.0,0.0,0.0,0.0,4.43,1.48,1.48,1.48,1.48,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,4.43,2.95,0.0,2.95,0.0,0.0,0.0,0,5.9,0,2.95,0.0,0.0,2.95,0.0,2.95,1,2,5.95744680851064,5.5531914893617,5.08510638297872,5.25531914893617,33,8,4.125,1+90 Years Crafting.mp4,R_2V3B9AvjeLjviju,0.11340569707701101,0.12095435789588802,0.16580352476207902,0.13016734182098702,0.13016734182098702,0.142749667787193,1,2,2
10+Aptamil Advert 2021.txt,1,628,85.05,99.0,24.57,65.41,13.96,20.06,85.67,57.32,40.13,11.46,10.03,0.0,5.73,2.87,0.0,1.43,1.43,11.46,4.3,6.85,12.9,4.3,1.43,2.87,0.0,11.46,4.3,7.17,8.6,8.6,0.0,0.0,14.33,0.0,14.33,2.87,1.43,2.87,4.3,0.0,1.43,0.0,2.87,2.87,0.0,1.43,1.43,0.0,0.0,0.0,0.0,0.0,14.33,4.3,1.43,0.0,0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,1.43,0.0,0.0,10.03,2.87,0.0,1.43,0,0,0.0,5.73,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.87,10.03,5.73,0.0,2.87,5.73,0.0,0.0,0.0,4.3,0.0,4.3,8.6,0.0,0.0,0.0,0.0,0,26.43,9.71,8.44,0.0,0.0,2.87,5.41,0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,1.43,0.0,1.43,0.0,0.0,0.0,0,0.0,2.87,0.0,1.43,4.3,0.0,1.43,0.0,2.87,0.0,0.0,1.43,1.43,0.0,0.0,0,2.87,0,0.0,1.43,1.43,1.43,0.0,1.43,10,2,4.16666666666667,4.0,5.66666666666667,3.33333333333333,31,14,2.2142857142857144,10+Aptamil Advert 2021.mp4,R_2cjymW7g7GFnOaL,0.084049507368952,0.083634553805777,0.11857089979946601,0.08223500192901201,0.08223500192901201,0.101961507535336,1,2,2
